mês,data,cod_filial,cargo,faixa,quantidade,faltaEsperada
2024-05,2024-05-01,2,motorista,over 10,3,0.096
2024-05,2024-05-01,2,motorista,till 10,3,0.096
2024-05,2024-05-01,2,motorista,till 8,3,0.096
2024-05,2024-05-01,2,motorista,till 9,3,0.096
2024-05,2024-05-01,2,vigilante,over 10,2,1.853
2024-05,2024-05-01,2,vigilante,till 10,2,1.853
2024-05,2024-05-01,2,vigilante,till 8,2,1.853
2024-05,2024-05-01,2,vigilante,till 9,2,1.853
2024-05,2024-05-01,4,motorista,over 10,11,1.789
2024-05,2024-05-01,4,motorista,till 10,11,1.789
2024-05,2024-05-01,4,motorista,till 8,11,1.789
2024-05,2024-05-01,4,motorista,till 9,11,1.789
2024-05,2024-05-01,4,vigilante,over 10,0,0.0
2024-05,2024-05-01,4,vigilante,till 10,0,0.0
2024-05,2024-05-01,4,vigilante,till 8,0,0.0
2024-05,2024-05-01,4,vigilante,till 9,0,0.0
2024-05,2024-05-02,2,motorista,over 10,3,0.095
2024-05,2024-05-02,2,motorista,till 10,3,0.095
2024-05,2024-05-02,2,motorista,till 8,3,0.095
2024-05,2024-05-02,2,motorista,till 9,3,0.095
2024-05,2024-05-02,2,vigilante,over 10,3,2.849
2024-05,2024-05-02,2,vigilante,till 10,3,2.849
2024-05,2024-05-02,2,vigilante,till 8,3,2.849
2024-05,2024-05-02,2,vigilante,till 9,3,2.849
2024-05,2024-05-02,4,motorista,over 10,11,1.78
2024-05,2024-05-02,4,motorista,till 10,11,1.78
2024-05,2024-05-02,4,motorista,till 8,11,1.78
2024-05,2024-05-02,4,motorista,till 9,11,1.78
2024-05,2024-05-02,4,vigilante,over 10,0,0.0
2024-05,2024-05-02,4,vigilante,till 10,0,0.0
2024-05,2024-05-02,4,vigilante,till 8,0,0.0
2024-05,2024-05-02,4,vigilante,till 9,0,0.0
2024-05,2024-05-03,2,motorista,over 10,3,0.098
2024-05,2024-05-03,2,motorista,till 10,3,0.098
2024-05,2024-05-03,2,motorista,till 8,3,0.098
2024-05,2024-05-03,2,motorista,till 9,3,0.098
2024-05,2024-05-03,2,vigilante,over 10,2,1.871
2024-05,2024-05-03,2,vigilante,till 10,2,1.871
2024-05,2024-05-03,2,vigilante,till 8,2,1.871
2024-05,2024-05-03,2,vigilante,till 9,2,1.871
2024-05,2024-05-03,4,motorista,over 10,11,1.761
2024-05,2024-05-03,4,motorista,till 10,11,1.761
2024-05,2024-05-03,4,motorista,till 8,11,1.761
2024-05,2024-05-03,4,motorista,till 9,11,1.761
2024-05,2024-05-03,4,vigilante,over 10,0,0.0
2024-05,2024-05-03,4,vigilante,till 10,0,0.0
2024-05,2024-05-03,4,vigilante,till 8,0,0.0
2024-05,2024-05-03,4,vigilante,till 9,0,0.0
2024-05,2024-05-06,2,motorista,over 10,3,1.0
2024-05,2024-05-06,2,motorista,till 10,3,1.0
2024-05,2024-05-06,2,motorista,till 8,3,1.0
2024-05,2024-05-06,2,motorista,till 9,3,1.0
2024-05,2024-05-06,2,vigilante,over 10,2,1.864
2024-05,2024-05-06,2,vigilante,till 10,2,1.864
2024-05,2024-05-06,2,vigilante,till 8,2,1.864
2024-05,2024-05-06,2,vigilante,till 9,2,1.864
2024-05,2024-05-06,4,motorista,over 10,11,0.767
2024-05,2024-05-06,4,motorista,till 10,11,0.767
2024-05,2024-05-06,4,motorista,till 8,11,0.767
2024-05,2024-05-06,4,motorista,till 9,11,0.767
2024-05,2024-05-06,4,vigilante,over 10,0,0.0
