mês,data,cod_filial,cargo,quantidade,faltaEsperada
2024-05,2024-05-01,2,motorista,12,0.384
2024-05,2024-05-01,2,vigilante,8,7.412
2024-05,2024-05-01,4,motorista,44,7.156
2024-05,2024-05-01,4,vigilante,0,0.0
2024-05,2024-05-02,2,motorista,12,0.38
2024-05,2024-05-02,2,vigilante,12,11.396
2024-05,2024-05-02,4,motorista,44,7.12
2024-05,2024-05-02,4,vigilante,0,0.0
2024-05,2024-05-03,2,motorista,12,0.392
2024-05,2024-05-03,2,vigilante,8,7.484
2024-05,2024-05-03,4,motorista,44,7.044
2024-05,2024-05-03,4,vigilante,0,0.0
2024-05,2024-05-06,2,motorista,12,4.0
2024-05,2024-05-06,2,vigilante,8,7.456
2024-05,2024-05-06,4,motorista,44,3.068
2024-05,2024-05-06,4,vigilante,0,0.0
2024-05,2024-05-07,2,motorista,16,8.0
2024-05,2024-05-07,2,vigilante,8,7.468
2024-05,2024-05-07,4,motorista,44,2.968
2024-05,2024-05-07,4,vigilante,0,0.0
2024-05,2024-05-08,2,motorista,12,4.0
2024-05,2024-05-08,2,vigilante,12,11.444
2024-05,2024-05-08,4,motorista,44,5.004
2024-05,2024-05-08,4,vigilante,0,0.0
2024-05,2024-05-09,2,motorista,12,4.0
2024-05,2024-05-09,2,vigilante,8,7.416
2024-05,2024-05-09,4,motorista,44,4.92
2024-05,2024-05-09,4,vigilante,0,0.0
2024-05,2024-05-10,2,motorista,12,4.0
2024-05,2024-05-10,2,vigilante,8,7.464
2024-05,2024-05-10,4,motorista,44,5.036
2024-05,2024-05-10,4,vigilante,0,0.0
2024-05,2024-05-13,2,motorista,12,4.0
2024-05,2024-05-13,2,vigilante,8,7.416
2024-05,2024-05-13,4,motorista,44,6.784
2024-05,2024-05-13,4,vigilante,0,0.0
2024-05,2024-05-14,2,motorista,12,4.0
2024-05,2024-05-14,2,vigilante,8,7.44
2024-05,2024-05-14,4,motorista,44,6.732
2024-05,2024-05-14,4,vigilante,0,0.0
2024-05,2024-05-15,2,motorista,12,4.0
2024-05,2024-05-15,2,vigilante,8,7.404
2024-05,2024-05-15,4,motorista,40,2.74
2024-05,2024-05-15,4,vigilante,0,0.0
2024-05,2024-05-16,2,motorista,12,4.0
2024-05,2024-05-16,2,vigilante,8,7.476
2024-05,2024-05-16,4,motorista,44,6.876
2024-05,2024-05-16,4,vigilante,0,0.0
2024-05,2024-05-17,2,motorista,16,8.0
2024-05,2024-05-17,2,vigilante,8,7.42
2024-05,2024-05-17,4,motorista,44,7.036
2024-05,2024-05-17,4,vigilante,0,0.0
2024-05,2024-05-20,2,motorista,8,0.0
2024-05,2024-05-20,2,vigilante,8,3.468
2024-05,2024-05-20,4,motorista,44,6.82
2024-05,2024-05-20,4,vigilante,0,0.0
2024-05,2024-05-21,2,motorista,12,4.0
2024-05,2024-05-21,2,vigilante,8,3.424
2024-05,2024-05-21,4,motorista,44,6.98
2024-05,2024-05-21,4,vigilante,0,0.0
2024-05,2024-05-22,2,motorista,12,4.0
2024-05,2024-05-22,2,vigilante,8,3.42
2024-05,2024-05-22,4,motorista,48,10.784
2024-05,2024-05-22,4,vigilante,0,0.0
2024-05,2024-05-23,2,motorista,12,4.0
2024-05,2024-05-23,2,vigilante,8,3.444
2024-05,2024-05-23,4,motorista,44,6.796
2024-05,2024-05-23,4,vigilante,0,0.0
2024-05,2024-05-24,2,motorista,12,4.0
2024-05,2024-05-24,2,vigilante,8,3.412
2024-05,2024-05-24,4,motorista,40,2.74
2024-05,2024-05-24,4,vigilante,0,0.0
2024-05,2024-05-27,2,motorista,12,4.0
2024-05,2024-05-27,2,vigilante,8,3.432
2024-05,2024-05-27,4,motorista,48,10.864
2024-05,2024-05-27,4,vigilante,0,0.0
2024-05,2024-05-28,2,motorista,12,4.0
2024-05,2024-05-28,2,vigilante,4,0.0
2024-05,2024-05-28,4,motorista,44,6.84
2024-05,2024-05-28,4,vigilante,0,0.0
2024-05,2024-05-29,2,motorista,16,8.0
2024-05,2024-05-29,2,vigilante,8,3.408
2024-05,2024-05-29,4,motorista,44,6.96
2024-05,2024-05-29,4,vigilante,0,0.0
2024-05,2024-05-30,2,motorista,12,4.0
2024-05,2024-05-30,2,vigilante,8,3.408
2024-05,2024-05-30,4,motorista,44,6.916
2024-05,2024-05-30,4,vigilante,0,0.0
2024-05,2024-05-31,2,motorista,12,4.0
2024-05,2024-05-31,2,vigilante,8,3.408
2024-05,2024-05-31,4,motorista,48,10.668
2024-05,2024-05-31,4,vigilante,0,0.0
